regio,epulettipus,lakastipus,idoszak,atlagár_mFt
Észak-Magyarország,többlakásos,Használt lakások,2023. I.,18.9
Észak-Magyarország,többlakásos,Használt lakások,2023. II.,19.7
Észak-Magyarország,többlakásos,Használt lakások,2023. III.,20.4
Észak-Magyarország,többlakásos,Használt lakások,2023. IV.,21.1
Észak-Magyarország,többlakásos,Használt lakások,2024. I.,24
Észak-Magyarország,többlakásos,Használt lakások,2024. II.,23.6
Észak-Magyarország,többlakásos,Használt lakások,2024. III.,22
Észak-Magyarország,többlakásos,Használt lakások,2024. IV.,21.7
Észak-Magyarország,többlakásos,Használt lakások,2025. I.,25.2
Észak-Magyarország,többlakásos,Használt lakások,2025. II.,24.6
Észak-Magyarország,többlakásos,Használt lakások,2025. III.,27.4
Észak-Magyarország,többlakásos,Használt lakások,2025. IV.,26.8
Észak-Magyarország,lakótelep,Használt lakások,2021. I.,11.7
Észak-Magyarország,lakótelep,Használt lakások,2021. II.,13
Észak-Magyarország,lakótelep,Használt lakások,2021. III.,13.3
Észak-Magyarország,lakótelep,Használt lakások,2021. IV.,13.6
Észak-Magyarország,lakótelep,Használt lakások,2022. I.,15.4
Észak-Magyarország,lakótelep,Használt lakások,2022. II.,16
Észak-Magyarország,lakótelep,Használt lakások,2022. III.,16
Észak-Magyarország,lakótelep,Használt lakások,2022. IV.,15.5
Észak-Magyarország,lakótelep,Használt lakások,2023. I.,16.3
Észak-Magyarország,lakótelep,Használt lakások,2023. II.,16.2
Észak-Magyarország,lakótelep,Használt lakások,2023. III.,15.7
Észak-Magyarország,lakótelep,Használt lakások,2023. IV.,15.9
Észak-Magyarország,lakótelep,Használt lakások,2024. I.,17.7
Észak-Magyarország,lakótelep,Használt lakások,2024. II.,18.1
Észak-Magyarország,lakótelep,Használt lakások,2024. III.,17.8
Észak-Magyarország,lakótelep,Használt lakások,2024. IV.,18.8
Észak-Magyarország,lakótelep,Használt lakások,2025. I.,20.9
Észak-Magyarország,lakótelep,Használt lakások,2025. II.,21.2
Észak-Magyarország,lakótelep,Használt lakások,2025. III.,23.5
Észak-Magyarország,lakótelep,Használt lakások,2025. IV.,24.1
Észak-Magyarország,együtt,Használt lakások,2021. I.,11.6
Észak-Magyarország,együtt,Használt lakások,2021. II.,11.6
Észak-Magyarország,együtt,Használt lakások,2021. III.,11.5
Észak-Magyarország,együtt,Használt lakások,2021. IV.,12.4
Észak-Magyarország,együtt,Használt lakások,2022. I.,14.2
Észak-Magyarország,együtt,Használt lakások,2022. II.,14
Észak-Magyarország,együtt,Használt lakások,2022. III.,13.6
Észak-Magyarország,együtt,Használt lakások,2022. IV.,13.1
Észak-Magyarország,együtt,Használt lakások,2023. I.,14.2
Észak-Magyarország,együtt,Használt lakások,2023. II.,14.7
Észak-Magyarország,együtt,Használt lakások,2023. III.,14.7
Észak-Magyarország,együtt,Használt lakások,2023. IV.,15.5
Észak-Magyarország,együtt,Használt lakások,2024. I.,18
Észak-Magyarország,együtt,Használt lakások,2024. II.,18
Észak-Magyarország,együtt,Használt lakások,2024. III.,16.9
Észak-Magyarország,együtt,Használt lakások,2024. IV.,17.8
Észak-Magyarország,együtt,Használt lakások,2025. I.,20.4
Észak-Magyarország,együtt,Használt lakások,2025. II.,20
Észak-Magyarország,együtt,Használt lakások,2025. III.,21.5
Észak-Magyarország,együtt,Használt lakások,2025. IV.,23.1
Észak-Alföld,"családi ház, sorház",Használt lakások,2021. I.,11.6
Észak-Alföld,"családi ház, sorház",Használt lakások,2021. II.,11.4
Észak-Alföld,"családi ház, sorház",Használt lakások,2021. III.,10.9
Észak-Alföld,"családi ház, sorház",Használt lakások,2021. IV.,11.4
Észak-Alföld,"családi ház, sorház",Használt lakások,2022. I.,13.7
Észak-Alföld,"családi ház, sorház",Használt lakások,2022. II.,13
Észak-Alföld,"családi ház, sorház",Használt lakások,2022. III.,11.9
Észak-Alföld,"családi ház, sorház",Használt lakások,2022. IV.,11
Észak-Alföld,"családi ház, sorház",Használt lakások,2023. I.,12.8
Észak-Alföld,"családi ház, sorház",Használt lakások,2023. II.,12.5
Észak-Alföld,"családi ház, sorház",Használt lakások,2023. III.,13.3
Észak-Alföld,"családi ház, sorház",Használt lakások,2023. IV.,14.9
Észak-Alföld,"családi ház, sorház",Használt lakások,2024. I.,17.7
Észak-Alföld,"családi ház, sorház",Használt lakások,2024. II.,17
Észak-Alföld,"családi ház, sorház",Használt lakások,2024. III.,17
Észak-Alföld,"családi ház, sorház",Használt lakások,2024. IV.,18.4
Észak-Alföld,"családi ház, sorház",Használt lakások,2025. I.,19.8
Észak-Alföld,"családi ház, sorház",Használt lakások,2025. II.,19.1
Észak-Alföld,"családi ház, sorház",Használt lakások,2025. III.,20.3
Észak-Alföld,"családi ház, sorház",Használt lakások,2025. IV.,21.8
Észak-Alföld,többlakásos,Használt lakások,2021. I.,20.3
Észak-Alföld,többlakásos,Használt lakások,2021. II.,21
Észak-Alföld,többlakásos,Használt lakások,2021. III.,21.5
Észak-Alföld,többlakásos,Használt lakások,2021. IV.,22.4
Észak-Alföld,többlakásos,Használt lakások,2022. I.,24.9
Észak-Alföld,többlakásos,Használt lakások,2022. II.,25.9
Észak-Alföld,többlakásos,Használt lakások,2022. III.,26
Észak-Alföld,többlakásos,Használt lakások,2022. IV.,27.3
Észak-Alföld,többlakásos,Használt lakások,2023. I.,27.4
Észak-Alföld,többlakásos,Használt lakások,2023. II.,28.2
Észak-Alföld,többlakásos,Használt lakások,2023. III.,29.8
Észak-Alföld,többlakásos,Használt lakások,2023. IV.,29.5
Észak-Alföld,többlakásos,Használt lakások,2024. I.,33.2
Észak-Alföld,többlakásos,Használt lakások,2024. II.,32.7
Észak-Alföld,többlakásos,Használt lakások,2024. III.,33
Észak-Alföld,többlakásos,Használt lakások,2024. IV.,35.4
Észak-Alföld,többlakásos,Használt lakások,2025. I.,37.6
Észak-Alföld,többlakásos,Használt lakások,2025. II.,37.3
Észak-Alföld,többlakásos,Használt lakások,2025. III.,40.3
Észak-Alföld,többlakásos,Használt lakások,2025. IV.,40.8
Észak-Alföld,lakótelep,Használt lakások,2021. I.,18.9
Észak-Alföld,lakótelep,Használt lakások,2021. II.,18.9
Észak-Alföld,lakótelep,Használt lakások,2021. III.,20.5
Észak-Alföld,lakótelep,Használt lakások,2021. IV.,21.5
Észak-Alföld,lakótelep,Használt lakások,2022. I.,23.5
Észak-Alföld,lakótelep,Használt lakások,2022. II.,25.2
Észak-Alföld,lakótelep,Használt lakások,2022. III.,25.4
Észak-Alföld,lakótelep,Használt lakások,2022. IV.,25.5
Észak-Alföld,lakótelep,Használt lakások,2023. I.,26.5
Észak-Alföld,lakótelep,Használt lakások,2023. II.,27
Észak-Alföld,lakótelep,Használt lakások,2023. III.,26.8
Észak-Alföld,lakótelep,Használt lakások,2023. IV.,26.8
Észak-Alföld,lakótelep,Használt lakások,2024. I.,28.9
Észak-Alföld,lakótelep,Használt lakások,2024. II.,29.9
Észak-Alföld,lakótelep,Használt lakások,2024. III.,31.2
Észak-Alföld,lakótelep,Használt lakások,2024. IV.,31.6
Észak-Alföld,lakótelep,Használt lakások,2025. I.,34.9
Észak-Alföld,lakótelep,Használt lakások,2025. II.,35.5
Észak-Alföld,lakótelep,Használt lakások,2025. III.,39.2
Észak-Alföld,lakótelep,Használt lakások,2025. IV.,39.7
Észak-Alföld,együtt,Használt lakások,2021. I.,14.3
Észak-Alföld,együtt,Használt lakások,2021. II.,14.1
Észak-Alföld,együtt,Használt lakások,2021. III.,13.9
Észak-Alföld,együtt,Használt lakások,2021. IV.,14.9
Észak-Alföld,együtt,Használt lakások,2022. I.,17.6
Észak-Alföld,együtt,Használt lakások,2022. II.,16.5
Észak-Alföld,együtt,Használt lakások,2022. III.,15.7
Észak-Alföld,együtt,Használt lakások,2022. IV.,14.7
Észak-Alföld,együtt,Használt lakások,2023. I.,17
Észak-Alföld,együtt,Használt lakások,2023. II.,16.4
Észak-Alföld,együtt,Használt lakások,2023. III.,17.4
Észak-Alföld,együtt,Használt lakások,2023. IV.,19.2
Észak-Alföld,együtt,Használt lakások,2024. I.,22.6
Észak-Alföld,együtt,Használt lakások,2024. II.,21.6
Észak-Alföld,együtt,Használt lakások,2024. III.,21.9
Észak-Alföld,együtt,Használt lakások,2024. IV.,24.1
Észak-Alföld,együtt,Használt lakások,2025. I.,26.1
Észak-Alföld,együtt,Használt lakások,2025. II.,24.5
Észak-Alföld,együtt,Használt lakások,2025. III.,27.2
Észak-Alföld,együtt,Használt lakások,2025. IV.,28.7
Dél-Alföld,"családi ház, sorház",Használt lakások,2021. I.,12.2
Dél-Alföld,"családi ház, sorház",Használt lakások,2021. II.,12
Dél-Alföld,"családi ház, sorház",Használt lakások,2021. III.,12
Dél-Alföld,"családi ház, sorház",Használt lakások,2021. IV.,12.6
Dél-Alföld,"családi ház, sorház",Használt lakások,2022. I.,14.4
Dél-Alföld,"családi ház, sorház",Használt lakások,2022. II.,14
Dél-Alföld,"családi ház, sorház",Használt lakások,2022. III.,12.6
Dél-Alföld,"családi ház, sorház",Használt lakások,2022. IV.,11.6
Dél-Alföld,"családi ház, sorház",Használt lakások,2023. I.,13.7
Dél-Alföld,"családi ház, sorház",Használt lakások,2023. II.,13.2
Dél-Alföld,"családi ház, sorház",Használt lakások,2023. III.,14.5
Dél-Alföld,"családi ház, sorház",Használt lakások,2023. IV.,15.5
Dél-Alföld,"családi ház, sorház",Használt lakások,2024. I.,18
Dél-Alföld,"családi ház, sorház",Használt lakások,2024. II.,17.3
Dél-Alföld,"családi ház, sorház",Használt lakások,2024. III.,16.9
Dél-Alföld,"családi ház, sorház",Használt lakások,2024. IV.,17.9
Dél-Alföld,"családi ház, sorház",Használt lakások,2025. I.,20.5
Dél-Alföld,"családi ház, sorház",Használt lakások,2025. II.,20.2
Dél-Alföld,"családi ház, sorház",Használt lakások,2025. III.,22
Dél-Alföld,"családi ház, sorház",Használt lakások,2025. IV.,25
Dél-Alföld,többlakásos,Használt lakások,2021. I.,19.8
Dél-Alföld,többlakásos,Használt lakások,2021. II.,19.9
Dél-Alföld,többlakásos,Használt lakások,2021. III.,20.5
Dél-Alföld,többlakásos,Használt lakások,2021. IV.,21.9
Dél-Alföld,többlakásos,Használt lakások,2022. I.,24.4
Dél-Alföld,többlakásos,Használt lakások,2022. II.,25.9
Dél-Alföld,többlakásos,Használt lakások,2022. III.,25.9
Dél-Alföld,többlakásos,Használt lakások,2022. IV.,26.2
Dél-Alföld,többlakásos,Használt lakások,2023. I.,27.4
Dél-Alföld,többlakásos,Használt lakások,2023. II.,27.6
Dél-Alföld,többlakásos,Használt lakások,2023. III.,27.9
Dél-Alföld,többlakásos,Használt lakások,2023. IV.,28.8
Dél-Alföld,többlakásos,Használt lakások,2024. I.,30.7
Dél-Alföld,többlakásos,Használt lakások,2024. II.,32
Dél-Alföld,többlakásos,Használt lakások,2024. III.,32.6
Dél-Alföld,többlakásos,Használt lakások,2024. IV.,33.5
Dél-Alföld,többlakásos,Használt lakások,2025. I.,35.8
Dél-Alföld,többlakásos,Használt lakások,2025. II.,37.1
Dél-Alföld,többlakásos,Használt lakások,2025. III.,37.8
Dél-Alföld,többlakásos,Használt lakások,2025. IV.,40.5
Dél-Alföld,lakótelep,Használt lakások,2021. I.,15.7
Dél-Alföld,lakótelep,Használt lakások,2021. II.,16.5
Dél-Alföld,lakótelep,Használt lakások,2021. III.,16.9
Dél-Alföld,lakótelep,Használt lakások,2021. IV.,17.6
Dél-Alföld,lakótelep,Használt lakások,2022. I.,19.7
Dél-Alföld,lakótelep,Használt lakások,2022. II.,21.8
Dél-Alföld,lakótelep,Használt lakások,2022. III.,21.9
Dél-Alföld,lakótelep,Használt lakások,2022. IV.,22
Dél-Alföld,lakótelep,Használt lakások,2023. I.,22.5
Dél-Alföld,lakótelep,Használt lakások,2023. II.,21.9
Dél-Alföld,lakótelep,Használt lakások,2023. III.,23.1
Dél-Alföld,lakótelep,Használt lakások,2023. IV.,22.5
Dél-Alföld,lakótelep,Használt lakások,2024. I.,25.3
Dél-Alföld,lakótelep,Használt lakások,2024. II.,24.6
Dél-Alföld,lakótelep,Használt lakások,2024. III.,25.7
Dél-Alföld,lakótelep,Használt lakások,2024. IV.,26.1
Dél-Alföld,lakótelep,Használt lakások,2025. I.,28.3
Dél-Alföld,lakótelep,Használt lakások,2025. II.,28.9
Dél-Alföld,lakótelep,Használt lakások,2025. III.,31.9
Dél-Alföld,lakótelep,Használt lakások,2025. IV.,34.8
Dél-Alföld,együtt,Használt lakások,2021. I.,14.5
Dél-Alföld,együtt,Használt lakások,2021. II.,14.3
Dél-Alföld,együtt,Használt lakások,2021. III.,14.5
Dél-Alföld,együtt,Használt lakások,2021. IV.,15.5
Dél-Alföld,együtt,Használt lakások,2022. I.,17.8
Dél-Alföld,együtt,Használt lakások,2022. II.,17.4
Dél-Alföld,együtt,Használt lakások,2022. III.,16.4
Dél-Alföld,együtt,Használt lakások,2022. IV.,15.4
Dél-Alföld,együtt,Használt lakások,2023. I.,17.7
Dél-Alföld,együtt,Használt lakások,2023. II.,16.8
Dél-Alföld,együtt,Használt lakások,2023. III.,18.3
Dél-Alföld,együtt,Használt lakások,2023. IV.,19.3
Dél-Alföld,együtt,Használt lakások,2024. I.,22.3
Dél-Alföld,együtt,Használt lakások,2024. II.,21.6
Dél-Alföld,együtt,Használt lakások,2024. III.,21.5
Dél-Alföld,együtt,Használt lakások,2024. IV.,23.4
Dél-Alföld,együtt,Használt lakások,2025. I.,25.7
Dél-Alföld,együtt,Használt lakások,2025. II.,24.9
Dél-Alföld,együtt,Használt lakások,2025. III.,27.5
Dél-Alföld,együtt,Használt lakások,2025. IV.,30.5
Ország,"családi ház, sorház",Használt lakások,2021. I.,19.5
Ország,"családi ház, sorház",Használt lakások,2021. II.,18.7
Ország,"családi ház, sorház",Használt lakások,2021. III.,17.7
Ország,"családi ház, sorház",Használt lakások,2021. IV.,18.7
Ország,"családi ház, sorház",Használt lakások,2022. I.,22.9
Ország,"családi ház, sorház",Használt lakások,2022. II.,21.4
Ország,"családi ház, sorház",Használt lakások,2022. III.,19.5
Ország,"családi ház, sorház",Használt lakások,2022. IV.,17.9
Ország,"családi ház, sorház",Használt lakások,2023. I.,21.3
Ország,"családi ház, sorház",Használt lakások,2023. II.,21.8
Ország,"családi ház, sorház",Használt lakások,2023. III.,22.1
Ország,"családi ház, sorház",Használt lakások,2023. IV.,24.3
Ország,"családi ház, sorház",Használt lakások,2024. I.,28.2
Ország,"családi ház, sorház",Használt lakások,2024. II.,27.9
Ország,"családi ház, sorház",Használt lakások,2024. III.,27.2
Ország,"családi ház, sorház",Használt lakások,2024. IV.,29
Ország,"családi ház, sorház",Használt lakások,2025. I.,31.5
Ország,"családi ház, sorház",Használt lakások,2025. II.,30.5
Ország,"családi ház, sorház",Használt lakások,2025. III.,32.5
Ország,"családi ház, sorház",Használt lakások,2025. IV.,36.9
Ország,többlakásos,Használt lakások,2021. I.,29.8
Ország,többlakásos,Használt lakások,2021. II.,30.3
Ország,többlakásos,Használt lakások,2021. III.,30.1
Ország,többlakásos,Használt lakások,2021. IV.,32.3
Ország,többlakásos,Használt lakások,2022. I.,36.2
Ország,többlakásos,Használt lakások,2022. II.,38.5
Ország,többlakásos,Használt lakások,2022. III.,38.6
Ország,többlakásos,Használt lakások,2022. IV.,38.7
Ország,többlakásos,Használt lakások,2023. I.,40.3
Ország,többlakásos,Használt lakások,2023. II.,41.4
Ország,többlakásos,Használt lakások,2023. III.,40.4
Ország,többlakásos,Használt lakások,2023. IV.,42.2
Ország,többlakásos,Használt lakások,2024. I.,44.5
Ország,többlakásos,Használt lakások,2024. II.,46.5
Ország,többlakásos,Használt lakások,2024. III.,45.2
Ország,többlakásos,Használt lakások,2024. IV.,46.7
Ország,többlakásos,Használt lakások,2025. I.,50.6
Ország,többlakásos,Használt lakások,2025. II.,51.8
Ország,többlakásos,Használt lakások,2025. III.,51.9
Ország,többlakásos,Használt lakások,2025. IV.,55
Ország,lakótelep,Használt lakások,2021. I.,20.3
Ország,lakótelep,Használt lakások,2021. II.,21.1
Ország,lakótelep,Használt lakások,2021. III.,21.7
Ország,lakótelep,Használt lakások,2021. IV.,22.7
Ország,lakótelep,Használt lakások,2022. I.,25
Ország,lakótelep,Használt lakások,2022. II.,27.2
Ország,lakótelep,Használt lakások,2022. III.,27.6
Ország,lakótelep,Használt lakások,2022. IV.,27.4
Ország,lakótelep,Használt lakások,2023. I.,28.2
Ország,lakótelep,Használt lakások,2023. II.,28.3
Ország,lakótelep,Használt lakások,2023. III.,28.4
Ország,lakótelep,Használt lakások,2023. IV.,28.6
Ország,lakótelep,Használt lakások,2024. I.,31
Ország,lakótelep,Használt lakások,2024. II.,32.2
Ország,lakótelep,Használt lakások,2024. III.,32.5
Ország,lakótelep,Használt lakások,2024. IV.,34.2
Ország,lakótelep,Használt lakások,2025. I.,36.9
Ország,lakótelep,Használt lakások,2025. II.,39.3
Ország,lakótelep,Használt lakások,2025. III.,42.9
Ország,lakótelep,Használt lakások,2025. IV.,46.3
Ország,összesen,Használt lakások,2021. I.,23.3
Ország,összesen,Használt lakások,2021. II.,23
Ország,összesen,Használt lakások,2021. III.,22.5
Ország,összesen,Használt lakások,2021. IV.,24.4
Ország,összesen,Használt lakások,2022. I.,28.5
Ország,összesen,Használt lakások,2022. II.,28
Ország,összesen,Használt lakások,2022. III.,26.9
Ország,összesen,Használt lakások,2022. IV.,26
Ország,összesen,Használt lakások,2023. I.,28.9
Ország,összesen,Használt lakások,2023. II.,29
Ország,összesen,Használt lakások,2023. III.,28.9
Ország,összesen,Használt lakások,2023. IV.,31.4
Ország,összesen,Használt lakások,2024. I.,34.9
Ország,összesen,Használt lakások,2024. II.,35.3
Ország,összesen,Használt lakások,2024. III.,34.5
Ország,összesen,Használt lakások,2024. IV.,37.1
Ország,összesen,Használt lakások,2025. I.,39.9
Ország,összesen,Használt lakások,2025. II.,38.9
Ország,összesen,Használt lakások,2025. III.,41.1
Ország,összesen,Használt lakások,2025. IV.,45.1
Budapest,"családi ház, sorház",Új lakások,2021. I.,..
Budapest,"családi ház, sorház",Új lakások,2021. II.,..
Budapest,"családi ház, sorház",Új lakások,2021. III.,..
Budapest,"családi ház, sorház",Új lakások,2021. IV.,..
Budapest,"családi ház, sorház",Új lakások,2022. I.,..
Budapest,"családi ház, sorház",Új lakások,2022. II.,..
Budapest,"családi ház, sorház",Új lakások,2022. III.,..
Budapest,"családi ház, sorház",Új lakások,2022. IV.,..
Budapest,"családi ház, sorház",Új lakások,2023. I.,..
Budapest,"családi ház, sorház",Új lakások,2023. II.,..
Budapest,"családi ház, sorház",Új lakások,2023. III.,..
Budapest,"családi ház, sorház",Új lakások,2023. IV.,..
Budapest,"családi ház, sorház",Új lakások,2024. I.,..
Budapest,"családi ház, sorház",Új lakások,2024. II.,..
Budapest,"családi ház, sorház",Új lakások,2024. III.,..
Budapest,"családi ház, sorház",Új lakások,2024. IV.,..
Budapest,"családi ház, sorház",Új lakások,2025. I.,..
Budapest,"családi ház, sorház",Új lakások,2025. II.,..
Budapest,"családi ház, sorház",Új lakások,2025. III.,..
Budapest,"családi ház, sorház",Új lakások,2025. IV.,..
Budapest,többlakásos,Új lakások,2021. I.,51.3
Budapest,többlakásos,Új lakások,2021. II.,53.1
Budapest,többlakásos,Új lakások,2021. III.,56.5
Budapest,többlakásos,Új lakások,2021. IV.,57.6
Budapest,többlakásos,Új lakások,2022. I.,63.7
Budapest,többlakásos,Új lakások,2022. II.,59.4
Budapest,többlakásos,Új lakások,2022. III.,60.5
Budapest,többlakásos,Új lakások,2022. IV.,65.7
Budapest,többlakásos,Új lakások,2023. I.,71.8
Budapest,többlakásos,Új lakások,2023. II.,77.9
Budapest,többlakásos,Új lakások,2023. III.,64.2
Budapest,többlakásos,Új lakások,2023. IV.,69.8
Budapest,többlakásos,Új lakások,2024. I.,82.3
Budapest,többlakásos,Új lakások,2024. II.,78.7
Budapest,többlakásos,Új lakások,2024. III.,73
Budapest,többlakásos,Új lakások,2024. IV.,83.4
Budapest,többlakásos,Új lakások,2025. I.,89.5
Budapest,többlakásos,Új lakások,2025. II.,101.8
Budapest,többlakásos,Új lakások,2025. III.,93.8
Budapest,többlakásos,Új lakások,2025. IV.,91.6
Budapest,lakótelep,Új lakások,2021. I.,..
Budapest,lakótelep,Új lakások,2021. II.,..
Budapest,lakótelep,Új lakások,2021. III.,..
Budapest,lakótelep,Új lakások,2021. IV.,..
Budapest,lakótelep,Új lakások,2022. I.,..
Budapest,lakótelep,Új lakások,2022. II.,..
Budapest,lakótelep,Új lakások,2022. III.,..
Budapest,lakótelep,Új lakások,2022. IV.,..
Budapest,lakótelep,Új lakások,2023. I.,..
Budapest,lakótelep,Új lakások,2023. II.,..
Budapest,lakótelep,Új lakások,2023. III.,..
Budapest,lakótelep,Új lakások,2023. IV.,..
Budapest,lakótelep,Új lakások,2024. I.,..
Budapest,lakótelep,Új lakások,2024. II.,..
Budapest,lakótelep,Új lakások,2024. III.,..
Budapest,lakótelep,Új lakások,2024. IV.,..
Budapest,lakótelep,Új lakások,2025. I.,..
Budapest,lakótelep,Új lakások,2025. II.,..
Budapest,lakótelep,Új lakások,2025. III.,..
Budapest,lakótelep,Új lakások,2025. IV.,..
Budapest,együtt,Új lakások,2021. I.,51.8
Budapest,együtt,Új lakások,2021. II.,53.5
Budapest,együtt,Új lakások,2021. III.,56.5
Budapest,együtt,Új lakások,2021. IV.,57.7
Budapest,együtt,Új lakások,2022. I.,64.8
Budapest,együtt,Új lakások,2022. II.,60
Budapest,együtt,Új lakások,2022. III.,60.5
Budapest,együtt,Új lakások,2022. IV.,66.9
Budapest,együtt,Új lakások,2023. I.,72.4
Budapest,együtt,Új lakások,2023. II.,79.5
Budapest,együtt,Új lakások,2023. III.,64.5
Budapest,együtt,Új lakások,2023. IV.,70.4
Budapest,együtt,Új lakások,2024. I.,83.9
Budapest,együtt,Új lakások,2024. II.,80.5
Budapest,együtt,Új lakások,2024. III.,73.3
Budapest,együtt,Új lakások,2024. IV.,84.1
Budapest,együtt,Új lakások,2025. I.,90.4
Budapest,együtt,Új lakások,2025. II.,102.2
Budapest,együtt,Új lakások,2025. III.,94.5
Budapest,együtt,Új lakások,2025. IV.,91.9
Pest,"családi ház, sorház",Új lakások,2021. I.,55.6
Pest,"családi ház, sorház",Új lakások,2021. II.,60.4
Pest,"családi ház, sorház",Új lakások,2021. III.,65.2
Pest,"családi ház, sorház",Új lakások,2021. IV.,..
Pest,"családi ház, sorház",Új lakások,2022. I.,79.4
Pest,"családi ház, sorház",Új lakások,2022. II.,75.1
Pest,"családi ház, sorház",Új lakások,2022. III.,..
Pest,"családi ház, sorház",Új lakások,2022. IV.,..
Pest,"családi ház, sorház",Új lakások,2023. I.,78.7
Pest,"családi ház, sorház",Új lakások,2023. II.,89.5
Pest,"családi ház, sorház",Új lakások,2023. III.,85.4
Pest,"családi ház, sorház",Új lakások,2023. IV.,..
Pest,"családi ház, sorház",Új lakások,2024. I.,94.3
Pest,"családi ház, sorház",Új lakások,2024. II.,95
Pest,"családi ház, sorház",Új lakások,2024. III.,..
Pest,"családi ház, sorház",Új lakások,2024. IV.,..
Pest,"családi ház, sorház",Új lakások,2025. I.,92.3
Pest,"családi ház, sorház",Új lakások,2025. II.,104.7
Pest,"családi ház, sorház",Új lakások,2025. III.,100.9
Pest,"családi ház, sorház",Új lakások,2025. IV.,..
Pest,többlakásos,Új lakások,2021. I.,45.9
Pest,többlakásos,Új lakások,2021. II.,50.2
Pest,többlakásos,Új lakások,2021. III.,52.2
Pest,többlakásos,Új lakások,2021. IV.,58.7
Pest,többlakásos,Új lakások,2022. I.,60
Pest,többlakásos,Új lakások,2022. II.,63.5
Pest,többlakásos,Új lakások,2022. III.,58.6
Pest,többlakásos,Új lakások,2022. IV.,70.2
Pest,többlakásos,Új lakások,2023. I.,64.5
Pest,többlakásos,Új lakások,2023. II.,65
Pest,többlakásos,Új lakások,2023. III.,59.3
Pest,többlakásos,Új lakások,2023. IV.,61
Pest,többlakásos,Új lakások,2024. I.,66.2
Pest,többlakásos,Új lakások,2024. II.,65.5
Pest,többlakásos,Új lakások,2024. III.,68.8
Pest,többlakásos,Új lakások,2024. IV.,62.9
Pest,többlakásos,Új lakások,2025. I.,72.5
Pest,többlakásos,Új lakások,2025. II.,74.9
Pest,többlakásos,Új lakások,2025. III.,75.8
Pest,többlakásos,Új lakások,2025. IV.,78.1
Pest,lakótelep,Új lakások,2021. I.,..
Pest,lakótelep,Új lakások,2021. II.,..
Pest,lakótelep,Új lakások,2021. III.,..
Pest,lakótelep,Új lakások,2021. IV.,..
Pest,lakótelep,Új lakások,2022. I.,..
Pest,lakótelep,Új lakások,2022. II.,..
Pest,lakótelep,Új lakások,2022. III.,..
Pest,lakótelep,Új lakások,2022. IV.,..
Pest,lakótelep,Új lakások,2023. I.,..
Pest,lakótelep,Új lakások,2023. II.,..
Pest,lakótelep,Új lakások,2023. III.,..
Pest,lakótelep,Új lakások,2023. IV.,..
Pest,lakótelep,Új lakások,2024. I.,..
Pest,lakótelep,Új lakások,2024. II.,..
Pest,lakótelep,Új lakások,2024. III.,..
Pest,lakótelep,Új lakások,2024. IV.,..
Pest,lakótelep,Új lakások,2025. I.,..
Pest,lakótelep,Új lakások,2025. II.,..
Pest,lakótelep,Új lakások,2025. III.,..
Pest,lakótelep,Új lakások,2025. IV.,..
Pest,együtt,Új lakások,2021. I.,48.7
Pest,együtt,Új lakások,2021. II.,53.5
Pest,együtt,Új lakások,2021. III.,56.3
Pest,együtt,Új lakások,2021. IV.,61.2
Pest,együtt,Új lakások,2022. I.,66.8
Pest,együtt,Új lakások,2022. II.,67.9
Pest,együtt,Új lakások,2022. III.,65.2
Pest,együtt,Új lakások,2022. IV.,73.9
Pest,együtt,Új lakások,2023. I.,68.6
Pest,együtt,Új lakások,2023. II.,72.6
Pest,együtt,Új lakások,2023. III.,65.7
Pest,együtt,Új lakások,2023. IV.,65.2
Pest,együtt,Új lakások,2024. I.,74.2
Pest,együtt,Új lakások,2024. II.,73.8
Pest,együtt,Új lakások,2024. III.,75
Pest,együtt,Új lakások,2024. IV.,66.5
Pest,együtt,Új lakások,2025. I.,77.6
Pest,együtt,Új lakások,2025. II.,86.3
Pest,együtt,Új lakások,2025. III.,82.1
Pest,együtt,Új lakások,2025. IV.,83.8
Közép-Dunántúl,"családi ház, sorház",Új lakások,2021. I.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2021. II.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2021. III.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2021. IV.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2022. I.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2022. II.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2022. III.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2022. IV.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2023. I.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2023. II.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2023. III.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2023. IV.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2024. I.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2024. II.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2024. III.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2024. IV.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2025. I.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2025. II.,..
Közép-Dunántúl,"családi ház, sorház",Új lakások,2025. III.,..
